Method,Mean,Variance,Skewness,Kurtosis,Entropy,Label
Chaotic,115.64745585123698,1629.400157203251,0.4697093802072058,1.126684260898025,7.181540790600463,1
Chaotic,93.02732340494792,1586.764934380435,0.47626434031502457,1.2927338071620502,6.928669832135818,1
Chaotic,112.23709869384766,2704.9853262625984,0.9325772770372339,0.5292931717280176,7.445068148628267,1
Chaotic,105.76327768961589,2954.6253717477994,0.5210684731786606,-0.4082479372431287,7.642707920062508,1
Chaotic,119.27337137858073,5045.919398541848,0.25734419500465916,-1.287704731423161,7.804747614828452,1
Chaotic,102.81262461344402,1919.7673679832296,0.9142699498803651,1.1626552665623544,7.220242062445425,1
Chaotic,82.68428548177083,2203.4419960959094,0.34753327956774555,-0.4375034889654743,7.28722039643731,1
Chaotic,80.56976826985677,2241.7081908602,1.314276055555307,2.1585563306917717,7.293468847844115,1
Chaotic,122.49763743082683,2621.3106938811566,0.8550480667713819,0.24415178939869264,7.456968782040678,1
Chaotic,180.53548177083334,7514.080853674146,-0.5175127058683324,-1.4473065809630279,4.854578170937053,1
Chaotic,142.85628763834634,773.2536031454542,-1.3758312069118888,3.805520008454767,6.241549913194626,1
Chaotic,111.61353810628255,1738.5681943034997,0.8139099954716426,1.885275629948893,7.121061100582558,1
Chaotic,121.78294626871745,1981.9213197862957,0.9451109685197854,1.1507664003972087,7.143604863794008,1
Chaotic,121.66211700439453,3300.6241443057274,0.8485162034232402,-0.32634352556379564,7.469884118540525,1
Chaotic,113.4661382039388,2845.684405340031,1.3082075059700218,1.374226731665022,7.0205194865968386,1
Chaotic,112.44724825033258,4132.5638463234145,0.22401390626002088,-0.8863737349995366,7.841136270607769,1
Chaotic,70.25497490662931,1818.6486079799104,0.9398334075890846,1.0357745926286537,7.219061413136379,1
Chaotic,153.9567806842501,3062.6410325621446,-0.548087810330117,-0.52852047299517,7.703131380829266,1
Chaotic,119.41498423853317,2646.4030273957846,-0.547720401187622,-0.22887398170457907,7.5454867297809285,1
Chaotic,117.77002176239228,3448.7412851360273,-0.5426669416660493,-0.7706434530573789,7.592553002976184,1
Chaotic,54.66534120227038,2708.12715933419,2.7170325267589757,5.830440785323258,3.984971386921077,1
Chaotic,111.68375396728516,1938.8430655341945,0.8509675740499985,0.577872209623365,7.174728167271184,1
Chaotic,125.30915574932038,2926.537551084628,-0.027587915587349705,-0.6561346934485113,7.74247933531483,1
Chaotic,115.11357580745194,2526.287735047674,0.07982303565692414,-0.6560170549452584,7.617777069102892,1
Chaotic,134.9166718130822,4485.981778686954,-0.08630351236673281,-1.1809573662448818,7.812641379151472,1
Chaotic,97.016835849384,2837.622858436294,0.45013309892393444,-0.7460829261491848,7.631244691503725,1
Chaotic,143.30340219421103,4085.6745510417895,-0.11279532893721443,-1.2969672790928912,7.592944529058276,1
Chaotic,131.8946787516276,1182.539057988027,0.18355280393639814,0.6795346407439307,7.09831590735058,1
Chaotic,91.50333913167317,2407.8002563876335,0.9473261644540902,0.9400649817038693,7.446804814776987,1
Chaotic,133.1675033569336,4309.697876971933,0.5241960411090446,-0.9539798277940346,7.38102852625195,1
Chaotic,117.55896759033203,1687.3116269899572,-0.08143572206173358,-0.14891325862843585,7.176317754633776,1
Chaotic,127.9620590209961,4062.598976029801,0.5369068401217375,-0.7073531826821644,7.6408511685903315,1
Chaotic,129.23661041259766,1651.138160715287,-0.3449876920099861,0.5116996753888845,7.188855686432903,1
Hybrid,119.76124572753906,1192.5035127548035,-0.3105865686556209,0.17247995613350264,7.048737060597754,1
Hybrid,115.64747873942058,1629.3993620819656,0.46970834029612496,1.1266870377770237,7.181517084816459,1
Hybrid,93.02733612060547,1586.7646768291208,0.4762631747095831,1.2927341965739734,6.928640110212991,1
Hybrid,112.23711649576823,2704.9848066512236,0.9325767437641584,0.5292927619603058,7.445047399451118,1
Hybrid,105.76330057779948,2954.6251206410175,0.5210672943883734,-0.4082483768482059,7.642674649217049,1
Hybrid,119.27339426676433,5045.917938985546,0.2573431355010551,-1.2877050720019534,7.804723550768773,1
Hybrid,102.81264750162761,1919.767150221366,0.9142685719166834,1.162654284559287,7.2202093595342385,1
Hybrid,82.68430074055989,2203.442499098031,0.34753219745838687,-0.4375051423845284,7.287170092136105,1
Hybrid,80.56976318359375,2241.7079067391655,1.3142769416519242,2.158557679635538,7.293459605779282,1
Hybrid,122.49763997395833,2621.31022595697,0.8550484650319601,0.24415233967959749,7.456966670148713,1
Hybrid,180.5354461669922,7514.075413898022,-0.5175129802165992,-1.4473062693799512,4.854879867606305,1
Hybrid,142.85632832845053,773.2502985956509,-1.3758347544864178,3.8055664314673345,6.241499020662979,1
Hybrid,111.61355845133464,1738.567447088808,0.8139093335837633,1.88527808487909,7.121057375753729,1
Hybrid,121.78296152750652,1981.9232134135993,0.9451105789867557,1.150760803818235,7.1436098402691,1
Hybrid,121.66210683186848,3300.623893290752,0.8485168746942789,-0.32634259056608084,7.469886268359213,1
Hybrid,113.46616872151692,2845.6912840334626,1.3082097620098745,1.374231948565403,7.020369933561967,1
Hybrid,112.44724897333565,4132.5639635261905,0.22401387764205072,-0.8863738529471785,7.841136208083566,1
Hybrid,70.2549733150836,1818.6484692660108,0.9398335887400461,1.0357753163989072,7.219061250241101,1
Hybrid,153.95677923824397,3062.6412681361485,-0.5480878240466954,-0.528520688055869,7.703131314268157,1
Hybrid,119.41498532303777,2646.4031034955046,-0.547720411450918,-0.22887406833667479,7.5454868399164985,1
Hybrid,117.77001887038001,3448.74111173109,-0.5426668752027057,-0.7706433656953036,7.59255308541762,1
Hybrid,54.66534908554065,2708.126854296353,2.717032594536655,5.830441096587776,3.98495203984895,1
Hybrid,111.68378448486328,1938.8421489629934,0.8509663026293321,0.5778731536206956,7.174697840379411,1
